Date,Open,High,Low,Close,Adj Close,Volume
2019-12-12,5.520000,5.700000,5.520000,5.670000,5.670000,7398700
2019-12-13,5.670000,5.810000,5.620000,5.660000,5.660000,6247300
2019-12-16,5.720000,5.780000,5.690000,5.720000,5.720000,5001700
2019-12-17,5.720000,5.770000,5.670000,5.710000,5.710000,3623000
2019-12-18,5.730000,5.750000,5.640000,5.650000,5.650000,5026000
2019-12-19,5.660000,5.840000,5.630000,5.810000,5.810000,8067800
2019-12-20,6.080000,6.540000,6.060000,6.530000,6.530000,26671300
2019-12-23,6.550000,6.650000,6.450000,6.470000,6.470000,9957900
2019-12-24,6.470000,6.530000,6.340000,6.360000,6.360000,4680400
2019-12-26,6.390000,6.510000,6.350000,6.430000,6.430000,3681900
2019-12-27,6.430000,6.500000,6.380000,6.450000,6.450000,5255000
2019-12-30,6.420000,6.510000,6.320000,6.420000,6.420000,6037500
2019-12-31,6.420000,6.520000,6.390000,6.420000,6.420000,5404400
2020-01-02,6.520000,6.560000,6.450000,6.520000,6.520000,5348900
2020-01-03,6.390000,6.550000,6.390000,6.460000,6.460000,3658200
2020-01-06,6.400000,6.740000,6.400000,6.680000,6.680000,7882700
2020-01-07,6.760000,6.830000,6.600000,6.660000,6.660000,6362700
2020-01-08,6.640000,6.700000,6.580000,6.660000,6.660000,4983800
2020-01-09,6.700000,6.730000,6.600000,6.640000,6.640000,3262800
2020-01-10,6.660000,6.660000,6.510000,6.560000,6.560000,3390300
2020-01-13,6.590000,6.670000,6.510000,6.670000,6.670000,3292900
2020-01-14,6.680000,6.730000,6.610000,6.640000,6.640000,3558800
2020-01-15,6.640000,6.810000,6.620000,6.730000,6.730000,4618200
2020-01-16,6.790000,6.890000,6.790000,6.820000,6.820000,5093800
2020-01-17,6.850000,6.870000,6.690000,6.730000,6.730000,3971600
2020-01-21,6.690000,6.700000,6.580000,6.580000,6.580000,3230000
2020-01-22,6.580000,6.700000,6.580000,6.630000,6.630000,2540700
2020-01-23,6.600000,6.670000,6.520000,6.660000,6.660000,2659800
2020-01-24,6.710000,6.760000,6.550000,6.590000,6.590000,3275300
2020-01-27,6.400000,6.400000,6.120000,6.260000,6.260000,7277800
2020-01-28,6.310000,6.430000,6.290000,6.410000,6.410000,2408500
2020-01-29,6.460000,6.470000,6.340000,6.340000,6.340000,1906700
