Date, Open, High, Low, Close
12/04/20, 29989.56, 30218.26, 29989.56, 30218.26
12/03/20, 29920.83, 30110.88, 29877.27, 29969.52
12/02/20, 29695.09, 29902.51, 29599.29, 29883.79
12/01/20, 29797.50, 30083.31, 29797.50, 29823.92
11/30/20, 29854.51, 29854.51, 29463.64, 29638.64
11/27/20, 29911.33, 30015.13, 29819.98, 29910.37
11/25/20, 30058.87, 30058.87, 29806.25, 29872.47
11/24/20, 29746.11, 30116.51, 29746.11, 30046.24
11/23/20, 29332.82, 29667.75, 29332.82, 29591.27
11/20/20, 29437.57, 29469.89, 29231.20, 29263.48
11/19/20, 29370.92, 29524.90, 29228.38, 29483.23
11/18/20, 29875.40, 29930.85, 29432.84, 29438.42
11/17/20, 29800.15, 29872.42, 29520.29, 29783.35
11/16/20, 29672.36, 29964.29, 29672.36, 29950.44
11/13/20, 29203.90, 29559.25, 29203.90, 29479.81
11/12/20, 29231.91, 29311.83, 28902.13, 29080.17
11/11/20, 29524.35, 29593.11, 29281.22, 29397.63
11/10/20, 29254.17, 29478.86, 29126.99, 29420.92
11/09/20, 29467.90, 29933.83, 29130.66, 29157.97
11/06/20, 28399.13, 28431.96, 28189.50, 28323.40
11/05/20, 28083.37, 28495.05, 28083.37, 28390.18
11/04/20, 27512.83, 28301.50, 27512.83, 27847.66
11/03/20, 27138.69, 27640.21, 27138.69, 27480.03
11/02/20, 26691.28, 27043.48, 26691.28, 26925.05
10/30/20, 26572.27, 26639.18, 26143.77, 26501.60
10/29/20, 26480.98, 26891.89, 26290.78, 26659.11
10/28/20, 27102.14, 27102.14, 26497.39, 26519.95
10/27/20, 27651.18, 27707.69, 27457.96, 27463.19
10/26/20, 28185.82, 28185.82, 27370.16, 27685.38
10/23/20, 28409.65, 28436.52, 28149.82, 28335.57
10/22/20, 28197.42, 28421.31, 28040.18, 28363.66
10/21/20, 28270.66, 28450.64, 28196.39, 28210.82
10/20/20, 28245.85, 28575.03, 28243.04, 28308.79
10/19/20, 28633.55, 28711.93, 28139.40, 28195.42
