Date,Frequency
2020-12-02,25
2020-12-03,26
2020-12-04,55
2020-12-05,26
2020-12-06,13
2020-12-07,46
2020-12-08,135
2020-12-09,130
2020-12-10,49
2020-12-11,23
2020-12-12,12
2020-12-13,7
2020-12-14,40
2020-12-15,28
2020-12-16,21
2020-12-17,17
2020-12-18,40
2020-12-19,10
2020-12-20,8
2020-12-21,37
2020-12-22,123
2020-12-23,107
2020-12-24,47
2020-12-25,7
2020-12-26,10
2020-12-27,7
2020-12-28,30
2020-12-29,29
2020-12-30,26
2020-12-31,24
2021-01-01,10
2021-01-02,9
2021-01-03,11
2021-01-04,19
2021-01-05,13
2021-01-06,18
2021-01-07,12
2021-01-08,17
2021-01-09,8
2021-01-10,7
2021-01-11,99
2021-01-12,23
2021-01-13,432
2021-01-14,412
2021-01-15,270
2021-01-16,74
2021-01-17,88
2021-01-18,98
2021-01-19,393
2021-01-20,274
2021-01-21,470
2021-01-22,1673
2021-01-23,592
2021-01-24,509
2021-01-25,3363
2021-01-26,5994
2021-01-27,17221
2021-01-28,48530
2021-01-29,23878
2021-01-30,7209
2021-01-31,5707
2021-02-01,11395
2021-02-02,9195
2021-02-03,4335
2021-02-04,2740
2021-02-05,3051
2021-02-06,798
2021-02-07,674
2021-02-08,1152
2021-02-09,1095
2021-02-10,1207
2021-02-11,852
2021-02-12,601
2021-02-13,258
2021-02-14,330
2021-02-15,344
2021-02-16,513
2021-02-17,688
2021-02-18,1895
2021-02-19,766
2021-02-20,314
2021-02-21,228
2021-02-22,531
2021-02-23,533
2021-02-24,3703
2021-02-25,5756
2021-02-26,2110
2021-02-27,551
2021-02-28,425
2021-03-01,1092
